"Feature,Importance"
"occupancy,0.8075071046805066"
"occ_lag1,0.09242433771240158"
"volume,0.053473276439014075"
"longitude,0.013481524226371375"
"latitude,0.008667919166528839"
"vol_lag1,0.007719561931620093"
"count,0.005435415137650992"
"slow,0.0048251031055289275"
"price,0.004437255697877827"
"vol_roll24,0.0012420134724111349"
"occ_roll24,0.00035466761588257803"
"vol_lag24,0.0002663665639251531"
"occ_lag24,0.00010550274925536552"
"weekday,2.2681208836251394e-05"
"fast,2.1236272097771948e-05"
"hour,1.2562277128213074e-05"
"is_weekend,3.4717429631931746e-06"
