"Feature,Importance"
"price,0.3733286557378796"
"duration,0.27711091951776945"
"latitude,0.14953307524018453"
"longitude,0.10890126324172043"
"slow,0.03236097719454835"
"count,0.0323111335976181"
"occupancy,0.006309869809683618"
"dur_lag24,0.005321537451737329"
"occ_lag24,0.0038417052782345794"
"dur_lag1,0.00363371051589089"
"occ_lag1,0.003610600571177674"
"dur_roll24,0.001310262422914927"
"occ_roll24,0.0011163081137304653"
"hour,0.0007121546519785161"
"weekday,0.00039539179880713045"
"fast,0.00016524065080144738"
"is_weekend,3.7194205323093986e-05"
